course_id,title,provider,mapped_skill,cost,duration_hours,difficulty,source_url,description_preview,skill_id,relevance_score
118,Conducting Night Scene and Bar Tours in Singapore (for Licensed Tourist Guides only) (Synchronous e-learning),WINE RESOURCES PTE. LTD.,APIs,75.0,7.5,Beginner,,This course provides an overview of the bar entertainment segment in Singapore and the value propositions of leading bars here that help the city state establish itself as the bar capital of the region. It also provides a basic understanding of the various beverages available at bars and pubs in Sin,17,0
119,Creative Thinking,NTUC LEARNINGHUB PTE. LTD.,APIs,400.0,16.0,Advanced,,"In today's rapidly evolving business landscape, organisations across various sectors are recognising the critical role of creative thinking in fostering innovation and sustaining long-term success. Organisations implementing creative thinking methodologies often face the challenge of integrating the",17,0
120,Croissant,Asian Culinary Institute of Singapore,APIs,450.0,21.0,Intermediate,,This course is designed for bakers and pastry chefs who wish to elevate their laminated pastry dough skills through the creation of various croissant products.  Learners will gain hands-on experience in intermediate pastry techniques in dough lamination and dough shaping.  Learners will also learn h,17,0
121,Customer Loyalty - Gaining Consumer Insights from Behavioural and Data Science (Synchronous E-Learning),SINGAPORE MANAGEMENT UNIVERSITY,APIs,900.0,24.0,Beginner,,"In this  two-day workshop, participants will be exposed to: _x000D_ _x000D_ - the principles behind consumersâ€™ judgements and choices_x000D_ - how common, intuitive managerial beliefs about how to enhance customer loyalty are often mistaken_x000D_ - strategies that would provide a competitive edge",17,0
122,Data Management Level 2: Process Human Resource Information (Synchronous e-learning).,HUMAN CAPITAL (SINGAPORE) PTE. LTD.,APIs,250.0,24.0,Unspecified,,This unit addresses the skills and knowledge required to process documents. It covers receiving and retrieving of information to implement actions to support a range of people management/human capital services.,17,0
123,"Data Privacy, Protection and Cybersecurity (Synchronous)",HMI INSTITUTE OF HEALTH SCIENCES PTE. LTD.,APIs,67.2,8.0,Unspecified,,"The core business of hospitals delivering just care services is of the past. Hospitals' business is rapidly evolving towards meeting customersâ€™ demand for a seamless care experience. To achieve this, hospitals are investing resources to review its processes so that staff and clinicians can deliver",17,0
124,"Decarbonisation, Circular Economy and Resource Management",Republic Polytechnic,APIs,437.4,45.0,Intermediate,,"This module is part of the Post Diploma Certificate in Sustainability, Specialist Diploma in Hospitality and Tourism Management. The Hospitality and Tourism industry is changing rapidly, with a focus on bespoke experiences, and quality tourism. The advent of AI will continue to change the nature of",17,0
125,Designing Your Life (DYL): Build Your Career After National Service,Republic Polytechnic,APIs,90.0,8.0,Intermediate,,"By the end of the course, participants will leave with a clearer vision for their future, a concrete action plan, and a supportive network of peers, equipping them to navigate the next phase of their lives with confidence and purpose. _x000D_ â€¢	Understand the importance of designing one's life and",17,0
127,Diploma in Business Practice (Human Capital),SINGAPORE POLYTECHNIC,APIs,26319.0,930.0,Unspecified,,"As Singapore becomes an innovation-driven economy, new skills and competencies will be in demand. To help working adults upgrade themselves with relevant Human Resource skills and knowledge, the DBHC under the Continuing Education & Training (CET) framework was officially launched in 2018. This is i",17,0
128,Diploma in Business Studies,Ngee Ann Polytechnic,APIs,68100.0,1800.0,Unspecified,,"The Diploma in Business Studies course has a broad-based curriculum, anchored on three specialisation options - Entrepreneurship, Human Capital Management and Marketing Ã¯Â¿Â½ which prepares students to be work-ready. The industry-focused course with a global and entrepreneurial focus, underpinned b",17,0
129,Diploma in Engineering (Electrical- Rapid Transit Technology),SINGAPORE POLYTECHNIC,APIs,25470.0,900.0,Intermediate,,The proposed programme aims to train fresh ITE graduates as well as in-service staff with NITEC or Higher NITEC qualification to become the next generation of rail engineering professionals with the necessary skills and knowledge to meet the manpower needs of Singaporeâ€™s growing rail network of 36,17,0
130,Diploma in Engineering (Mechanical - Rapid Transit Technology),SINGAPORE POLYTECHNIC,APIs,25470.0,900.0,Unspecified,,"The WSP aims to provide fresh graduates, as well as in-service staff, from the Institute of Technical Education (ITE) a head-start and/or advancement in their careers in the Rapid Transit Transport (RTT) Sector. It is designed to meet both the needs of the public transport sector and the academic cu",17,0
131,Diploma in Landscape Architecture,Singapore Polytechnic,APIs,65394.26,2340.0,Beginner,,The Diploma in Landscape Architecture aims to train designers who are competent in theory and practice in landscape design. A good foundation in horticulture and environmental awareness for ecology will balance the emphasis on the integrated design approach of landscaping and architecture. Through t,17,0
132,Diploma in Optometry,Singapore Polytechnic,APIs,65394.26,2340.0,Intermediate,,The scope of Optometry includes the detection of common eye diseases and problems. It also covers the prescription of spectacles and contact lenses.Our three-year Diploma in Optometry (DOPT) course aims to produce professionally competent optometrists who are in good demand. Due to high prevalence o,17,0
133,ENHANCING PATIENT EXPERIENCE,HMI INSTITUTE OF HEALTH SCIENCES PTE. LTD.,APIs,53.76,8.0,Unspecified,,"The core business of hospitals delivering just care services is of the past. Hospitals' business is rapidly evolving_x000D_ towards meeting customersâ€™ demand for a seamless care experience. To achieve this, hospitals are investing_x000D_ resources to review its processes so that staff and clinicia",17,0
134,Effective Clinical Supervision Skills - Basic Course,NATIONAL UNIVERSITY OF SINGAPORE,APIs,510.0,14.5,Intermediate,,"Equip healthcare professionals with:_x000D_ 1 Basic theoretical knowledge underlying clinical education_x000D_ 2 Knowledge of supervision/assessment frameworks_x000D_ 3 Clinical educator skills: building supervisory relationships, understanding supervisory styles_x000D_ 4 Strategies to enhance super",17,0
135,Effective People & Team Performance Management for Non-HR Managers,NANYANG TECHNOLOGICAL UNIVERSITY,APIs,590.0,14.0,Unspecified,,"Leaders are responsible to effectively and efficiently optimise the performance of their people and teams. Without the required competencies this primary responsibility cannot be achieved. This program aims to provide leaders with the competencies required to lead, manage, develop and align the perf",17,0
136,Effective Team Building With Positive Psychology,SINGAPORE POLYTECHNIC,APIs,270.0,16.5,Unspecified,,"This is a 2-day workshop that incorporates a blend of facilitated learning and experiential activities to promote a thriving workplace environment by increasing Psychological Capital (PsyCap) and enhance team engagement. This course is for front line managers, executives or anyone who wish to acquir",17,0
137,Electrical & Control Systems,Singapore Polytechnic,APIs,1924.4,68.0,Unspecified,,"The WSP aims to provide fresh graduates, as well as in-service staff, from the Institute of Technical Education (ITE) a head-start and/or advancement in their careers in the Rapid Transit Transport (RTT) Sector. It is designed to meet both the needs of the public transport sector and the academic cu",17,0
138,Emerging Healthcare Trends,SINGAPORE UNIVERSITY OF SOCIAL SCIENCES,APIs,195.0,8.0,Unspecified,,"As Singapore edges towards our status as a super-aged society, the healthcare industry would need to grow manpower exponentially, and at the same time, experiment new operating models to leverage ancillary workers. Amid the competition with other industries for talent, the programme intends to draw",17,0
139,Emotionally Focused Therapy,Singapore University of Social Sciences,APIs,2640.0,28.0,Unspecified,,"Appraise the theoretical underpinnings of Emotion-Focused Therapy (EFT) for Couples Assess the ï¿½music of the danceï¿½ between partners, and move the couple into effective loving and a relationship of interdependence Formulate the way EFT tenets are linked to key emotions and events in interactions",17,0
140,Engine Technology,Singapore Polytechnic,APIs,1924.4,68.0,Unspecified,,"The WSP aims to provide fresh graduates, as well as in-service staff, from the Institute of Technical Education (ITE) a head-start and/or advancement in their careers in the Rapid Transit Transport (RTT) Sector. It is designed to meet both the needs of the public transport sector and the academic cu",17,0
141,Engineering Development and Applications,Institute of Technical Education,APIs,628.975,120.0,Unspecified,,"On completion of the module, students should be able to carry out design and development activities including applications of design concepts for a sustainable environment, verifying product design, perform rapid prototyping, as well as carrying out produ",17,0
142,Engineering Economics and Analysis,SINGAPORE UNIVERSITY OF SOCIAL SCIENCES,APIs,438.3,20.0,Beginner,,Engineers regularly have to choose between different engineering project proposals. e.g. Which projects are worthwhile? Which project should have higher priority? Is one design better than another in terms of long term and short term cost trade-offâ€™s? Projects require money that has to be disburse,17,0
143,Engineering Materials,SINGAPORE POLYTECHNIC,APIs,1698.0,60.0,Unspecified,,"The WSP aims to provide fresh graduates, as well as in-service staff, from the Institute of Technical Education (ITE) a head-start and/or advancement in their careers in the Rapid Transit Transport (RTT) Sector. It is designed to meet both the needs of the public transport sector and the academic cu",17,0
144,Engineering Thermodynamics,SINGAPORE POLYTECHNIC,APIs,1698.0,60.0,Unspecified,,"The WSP aims to provide fresh graduates, as well as in-service staff, from the Institute of Technical Education (ITE) a head-start and/or advancement in their careers in the Rapid Transit Transport (RTT) Sector. It is designed to meet both the needs of the public transport sector and the academic cu",17,0
145,Enterprise Business Plan (in MC in Aquaculture Management in Part-time Diploma in Applied Science (Aquaculture))Â,Temasek Polytechnic,APIs,382.05,45.0,Intermediate,,"In this course, you will learn the important aspects of Aquaculture, which include Feed Nutrition, Diseases Management, Hatchery Technology, and Aquaculture Systems, and many more! With the rapid expanding aquaculture production around the world, the insights gained here can improve aquaculture mana",17,0
146,Enterprise Leadership for Transformation - Set,NATIONAL UNIVERSITY OF SINGAPORE,APIs,3217.5,54.0,Intermediate,,"To enhance leadership and business growth capabilities of SME owner / leaders through_x000D_ â€¢ A practical learning program that trains business leaders in business fundamentals for growth, tailored to SME needs_x000D_ â€¢ Guided mentoring that supports the development of viable business growth pl",17,0
147,Enterprise Leadership for Transformation - Set (Synchronous e-learning),NATIONAL UNIVERSITY OF SINGAPORE,APIs,3217.5,71.5,Intermediate,,"Course Objectives for Part 2 (Set)_x000D_ To enhance leadership and business growth capabilities of SME owner / leaders through_x000D_ â€¢ A practical learning program that trains business leaders in business fundamentals for growth, tailored to SME needs_x000D_ â€¢ Guided mentoring that supports th",17,0
148,Enterprise Leadership for Transformation: Module 5 - Leadership & Talent Management: Sustainability for Growth (ELT),SINGAPORE MANAGEMENT UNIVERSITY,APIs,650.0,16.0,Unspecified,,"Talent is going to be the key success factor for any Small and Medium Enterprise (SME) to break out of their current trajectory and experience growth for the future. In this module, participants will learn key human capital issues pertinent to attracting staff, retaining employees and developing lea",17,0
149,Enterprise Risk Management (Synchronous e-Learning).,EPM TRAINING SERVICES PTE. LTD.,APIs,400.0,16.0,Intermediate,,"(a) Explain risk-related concepts, terms, and principles_x000D_ (b)  Use a proven and practical risk management framework aligned to industry best practices_x000D_ (c)  Describe how to manage organization or project risks by identifying, analyzing, prioritizing, mitigating threats and capitalizing o",17,0
150,Environmental Science (in MC in Sustainable Aquaculture and Environmental Sciences in Part-time Diploma in Applied Science (Aquaculture))Â,Temasek Polytechnic,APIs,509.4,60.0,Intermediate,,"In this course, you will learn the important aspects of Aquaculture, which include Feed Nutrition, Diseases Management, Hatchery Technology, and Aquaculture Systems, and many more! With the rapid expanding aquaculture production around the world, the insights gained here can improve aquaculture mana",17,0
151,Essentials of Financial Management,SINGAPORE UNIVERSITY OF SOCIAL SCIENCES,APIs,429.9,20.0,Unspecified,,"This course aims to equip business graduates with the requisite knowledge and skills relating to finance concepts and models to understand the implications of the firmâ€™s activities on its finances. A broad range of topics, covering financial statements, cash flows, valuation, time value of money,",17,0
152,Essentials of Financial Management & Accounting,Singapore Polytechnic,APIs,1315.95,46.5,Unspecified,,"As Singapore becomes an innovation-driven economy, new skills and competencies will be in demand. To help working adults upgrade themselves with relevant Human Resource skills and knowledge, the DBHC under the Continuing Education & Training (CET) framework was officially launched in 2018. This is i",17,0
153,Essentials of Technology for  Business,Singapore Polytechnic,APIs,1315.95,46.5,Unspecified,,"As Singapore becomes an innovation-driven economy, new skills and competencies will be in demand. To help working adults upgrade themselves with relevant Human Resource skills and knowledge, the DBHC under the Continuing Education & Training (CET) framework was officially launched in 2018. This is i",17,0
154,Ethical and Societal Impact of Generative AI,Republic Polytechnic,APIs,145.8,15.0,Intermediate,,"This module is part of the Post Diploma Certificate in Applied Generative AI, Specialist Diploma in Hospitality and Tourism Management. The Hospitality and Tourism industry is changing rapidly, with a focus on bespoke experiences, and quality tourism. The advent of AI will continue to change the nat",17,0
155,Event Revenue Optimisation,Republic Polytechnic,APIs,145.8,15.0,Intermediate,,"This module is part of the Post Diploma Certificate in Hospitality Business Management, Specialist Diploma in Hospitality and Tourism Management. The Hospitality and Tourism industry is changing rapidly, with a focus on bespoke experiences, and quality tourism. The advent of AI will continue to chan",17,0
156,Executive Certificate of  Precision Therapeutics,NATIONAL UNIVERSITY OF SINGAPORE,APIs,5400.0,39.0,Unspecified,,"By the end of the course, the student will be able:   - To understand current clinical applications of N-of-1 Medicine.  - To understand modern approaches of vaccine development.  - To understand advances in immunotherapy for precision oncology.  - To understand stem cell-based therapies for precisi",17,0
157,Executive Master of Business Administration (EMBA),SINGAPORE MANAGEMENT UNIVERSITY,APIs,110000.0,999.0,Unspecified,,The SMU EMBA Programme is designed for the global senior leader who is keen on business innovation and personal growth. The innovative curriculum is created with input from more than 100 business leaders in Asia. It is designed to prepare senior executives for the challenges of leading organizations,17,0
159,FULL-STACK DEVELOPMENT,GENERAL ASSEMBLY SPACE ACADEMY PTE. LTD.,APIs,1604.25,103.5,Unspecified,,"At the end of the course, learners will be able to: _x000D_ _x000D_ - Create RESTful web applications using Node.js_x000D_ - Create web applications by re-using external packages based on the MERN stack_x000D_ - Use CSS for user interface templating in web applications based on design guidelines and",17,0
160,"FUTURE OF ENGAGEMENT â€“ METAVERSE, AR & VR (Classroom & Asynchronous e-Learning)",MAGES INSTITUTE OF EXCELLENCE PTE. LTD.,APIs,480.0,16.0,Unspecified,,"This course explores the current and potential future impacts of new, emerging, and rapidly evolving technologies on organizations and their operations across a range of industries and sectors. Learners will gain insights into these technologies and how these organizations are coping with the result",17,0
161,Facilitating Learning @ Work (Synchronous E-Learning),HMI INSTITUTE OF HEALTH SCIENCES PTE. LTD.,APIs,53.76,8.0,Unspecified,,"Living and working through the economic, social and pandemic disruption has prompted individuals to prioritize_x000D_ learning flexibility and career fulfillment. Organizations are also reexamining business strategies, workforce_x000D_ models, values, and culture. With this, there is an urgent chall",17,0
162,Facilitating Learning @ Work (Synchronous),HMI INSTITUTE OF HEALTH SCIENCES PTE. LTD.,APIs,67.2,8.0,Unspecified,,"Living and working through the economic, social and pandemic disruption has prompted individuals to prioritize learning flexibility and career fulfilment. Organizations are also re-examining business strategies, workforce models, values, and culture. With this, there is an urgent challenge to future",17,0
163,Fast Track Marketing Leadership,CLICKACADEMY ASIA PTE. LTD.,APIs,497.5,16.0,Unspecified,,â— Develop a marketing plan that align to the categoriesâ€™ intended outcomes and objectives_x000D_ â— Maximise sales outreach of intended target audiences by optimizing the marketing funnel and through effective performance measures_x000D_ â— Establish clear understanding of categoriesâ€™ compet,17,0
164,Fast Track Marketing Leadership (Synchronous e-learning),CLICKACADEMY ASIA PTE. LTD.,APIs,497.5,16.0,Unspecified,,1. Develop a marketing plan that align to the categoriesâ€™ intended outcomes and objectives_x000D_ 2. Maximise sales outreach of intended target audiences by optimizing the marketing funnel and through effective performance measures_x000D_ 3. Establish clear understanding of categoriesâ€™ competiti,17,0
165,Finance for Non-Finance Professionals,SINGAPORE MANAGEMENT UNIVERSITY,APIs,900.0,24.0,Intermediate,,"At the end of the 3-day course, participants will be able to_x000D_ â€¢ Make informed, strategic decisions to drive businesses forward _x000D_ â€¢ Engage in discussions across a range of financial topics with financial and non-financial stakeholders_x000D_ â€¢ Understand terminology and concepts use",17,0
166,Finance for Non-Finance Professionals (Synchronous E-learning),SINGAPORE MANAGEMENT UNIVERSITY,APIs,900.0,24.0,Intermediate,,"At the end of the 3-day course, participants will be able to_x000D_ â€¢ Make informed, strategic decisions to drive businesses forward _x000D_ â€¢ Engage in discussions across a range of financial topics with financial and non-financial stakeholders_x000D_ â€¢ Understand terminology and concepts use",17,0
167,Financial Management for Fintech Professionals,Singapore University of Social Sciences,APIs,2640.0,18.0,Intermediate,,"Appraise the techniques and applications of financial statement analysis Evaluate various corporate decisions in investing, working capital management and financing Analyse risks involved with equity and bond investments Assess basic equity valuation models Construct appropriate valuation models to",17,0
168,Financial Valuation of Social and Environmental Impact,NATIONAL UNIVERSITY OF SINGAPORE,APIs,950.0,14.0,Advanced,,"Return measurement is critical to guide the rigorous decision process that will allow capital to flow in the economy. Traditionally, firms, investors and intermediaries rely on financial data to make optimal capital allocation. However, such consideration is no longer adequate in the midst of rising",17,0
169,From Ideas to Prototypes,NATIONAL UNIVERSITY OF SINGAPORE,APIs,570.0,14.0,Unspecified,,The course provides the participant with the knowledge and skills to:_x000D_ 1) ideate effectively with others using interaction design practices_x000D_ 2) iteratively turn abstract low fidelity concepts into detailed high fidelity designs_x000D_ 3) translate content and layout into an intuitive and,17,0
170,From Ideas to Prototypes (Synchronous e-learning),NATIONAL UNIVERSITY OF SINGAPORE,APIs,570.0,14.0,Unspecified,,The course provides the participant with the knowledge and skills to: 1) ideate effectively with others using interaction design practices 2) iteratively turn abstract low fidelity concepts into detailed high fidelity designs 3) translate content and layout into an intuitive and responsive interface,17,0
171,Frontend Framework: Introduction to React,NTUC LEARNINGHUB PTE. LTD.,APIs,622.5,40.0,Beginner,,"This 5-day, 40-hour course on JavaScript Framework with ReactJS is designed to provide learners with the necessary skills to create, manage, and test React applications._x000D_ Throughout the course, learners will gain a strong foundation in React and learn how to use React Hooks to handle rendering",17,0
172,"Fund Raising, IPOs & Capital Restructuring Workshop",SINGAPORE MANAGEMENT UNIVERSITY,APIs,480.0,16.0,Intermediate,,Participants will gain practical knowledge of the activities involved in fund raising for corporations as private companies and public companies.                                            _x000D_ Participants will learn  the process of planning for and achieving a successful IPO and  key aspects of,17,0
173,"Fund Raising, IPOs & Capital Restructuring Workshop (Synchronous e-learning)",SINGAPORE MANAGEMENT UNIVERSITY,APIs,480.0,16.0,Intermediate,,Participants will gain practical knowledge of the activities involved in fund raising for corporations as private companies and public companies.                                            _x000D_ Participants will learn  the process of planning for and achieving a successful IPO and  key aspects of,17,0
174,Fundamental Field Epidemiology,NATIONAL UNIVERSITY OF SINGAPORE,APIs,810.0,36.0,Beginner,,"Upon completion of this course, participants will be able to:_x000D_ 1. Apply field epidemiologic methods to undertake rapid response on the ground_x000D_ 2. Assist in surveillance and outbreak investigation using a systematic approach; and_x000D_ 3. Acquire skills to effect preventive and preparedn",17,0
175,Fundamentals of Accounting,Singapore Polytechnic,APIs,1315.95,46.5,Beginner,,"As Singapore becomes an innovation-driven economy, new skills and competencies will be in demand. To help working adults upgrade themselves with relevant Human Resource skills and knowledge, the DBHC under the Continuing Education & Training (CET) framework was officially launched in 2018. This is i",17,0
176,Fundamentals of IT Architecture (for Financial Sector) (Synchronous E-Learning),SINGAPORE MANAGEMENT UNIVERSITY,APIs,600.0,16.0,Beginner,,"At the end of the 2-day course, participants will be able to:_x000D_ â€¢ Understand the typical IT application architecture adopted in financial institutions including the distribution channels, transaction processing, enterprise management_x000D_ â€¢ Gain an understanding of the third-party applica",17,0
177,Fundamentals of Image Processing & Computer Vision,Nanyang Polytechnic,APIs,195.0,21.0,Beginner,,"This course covers fundamentals of image processing & computer vision. It will introduce key image processing concepts, algorithms and their applications, with hands-on practices using rapid prototyping software.",17,0
178,Future Foods and Sustainable Nutrition,Temasek Polytechnic,APIs,174.0,16.0,Unspecified,,"In this short course, you will explore the emerging trends and technologies that are shaping the future of food and its contribution to sustainable nutrition, health and wellness.",17,0
179,Future Trends and Innovations in Sustainable Urban Environments,NANYANG TECHNOLOGICAL UNIVERSITY,APIs,900.0,21.0,Advanced,,"This course explores the cutting-edge innovations and future trends shaping sustainable urban development and the transition to net-zero cities. Participants will gain critical insights into circular economy principles, advanced waste-to-resource technologies, and energy innovations, enabling them t",17,0
180,GROUP THERAPY PLANNING AND IMPLEMENTATION OF ACTIVITIES (CLASSROOM & SYNCHRONOUS),HMI INSTITUTE OF HEALTH SCIENCES PTE. LTD.,APIs,513.0,57.0,Unspecified,,"The Healthcare market in Singapore is developing a network of community care system to meet the changing and varied needs of the population, especially the seniors living in a rapidly ageing society. In tandem, a new healthcare need is emerging in the community care sector to help seniors live well",17,0
181,Game Development,Institute of Technical Education,APIs,861.0,61.25,Unspecified,,"On completion of the module, students should be able to integrate game scripts, perform rapid prototyping and present mini prototypes.",17,0
182,Gender and Society,Singapore University of Social Sciences,APIs,1461.0,24.0,Beginner,,"Demonstrate knowledge of the basic concepts, theories, and current debates relating to gender and society Discuss how political, social, and cultural factors contribute to gender distinction and inequalities Examine how gender interacts with other social distinctions in shaping social lives Apply ge",17,0
183,Generative AI Project,Republic Polytechnic,APIs,437.4,45.0,Intermediate,,"This module is part of the Post Diploma Certificate in Applied Generative AI, Specialist Diploma in Hospitality and Tourism Management. The Hospitality and Tourism industry is changing rapidly, with a focus on bespoke experiences, and quality tourism. The advent of AI will continue to change the nat",17,0
184,Generative AI Tools and Workflows,Republic Polytechnic,APIs,145.8,15.0,Intermediate,,"This module is part of the Post Diploma Certificate in Sustainability, Specialist Diploma in Hospitality and Tourism Management. The Hospitality and Tourism industry is changing rapidly, with a focus on bespoke experiences, and quality tourism. The advent of AI will continue to change the nature of",17,0
185,Global Perspective in Aquaculture (in MC in Aquaculture Technology in Part-time Diploma in Applied Science (Aquaculture))Â,Temasek Polytechnic,APIs,382.05,45.0,Intermediate,,"In this course, you will learn the important aspects of Aquaculture, which include Feed Nutrition, Diseases Management, Hatchery Technology, and Aquaculture Systems, and many more! With the rapid expanding aquaculture production around the world, the insights gained here can improve aquaculture mana",17,0
186,Go Microservices II,Ngee Ann Polytechnic,APIs,670.8,32.0,Unspecified,,"Participants will be able to adopt good testing practices, monitor the status of their program, and also rapidly test and deploy new version of programs in their work.",17,0
187,Go Microservices II (Synchronous e-learning),Ngee Ann Polytechnic,APIs,570.0,32.0,Unspecified,,"Participants will be able to adopt good testing practices, monitor the status of their program, and also rapidly test and deploy new version of programs in their work.",17,0
188,Government and Politics in China,Singapore University of Social Sciences,APIs,1461.0,18.0,Unspecified,,Apply concepts in political science to Chinese politics Explain Chinese political phenomena using political science theories Identify the main actors and institutions in shaping Chinese politics Discuss how public policies are formulated and implemented in China Analyse current news events on China,17,0
189,Graduate Certificate of Human Capital Management,SINGAPORE UNIVERSITY OF SOCIAL SCIENCES,APIs,6600.0,108.0,Unspecified,,https://www.suss.edu.sg/programmes/detail/graduate-certificate-in-human-capital-management#whom-is-this-for,17,0
190,Graduate Diploma in Human Capital Management,SINGAPORE UNIVERSITY OF SOCIAL SCIENCES,APIs,15840.0,216.0,Unspecified,,https://www.suss.edu.sg/programmes/detail/graduate-diploma-in-human-capital-management-gdhcm#whom-is-this-for,17,0
191,Growth Mindset Unlocked -Transforming Challenges into Opportunities (Classroom & Synchronous e-learning),Republic Polytechnic,APIs,192.0,20.0,Intermediate,,"In today's rapidly evolving professional landscape, adaptability and continuous learning are key drivers of success. Unlocking a Growth Mindset will empower you to embrace a mindset of growth, resilience, and lifelong learning, and seize challenges and turn it into opportunities. Grounded in the pio",17,0
192,HR Analytics (Synchronous e-learning),NATIONAL UNIVERSITY OF SINGAPORE,APIs,570.0,14.0,Beginner,,"An organization is only as good as the people who work for it. This course will focus on how to measure and improve the Human capital of an organization. Specifically, it will focus on using analytic techniques to support: - Attracting and recruiting the best staff? - Retaining key people - Determin",17,0
193,HR Information System.,Singapore Polytechnic,APIs,1754.6,62.0,Unspecified,,"As Singapore becomes an innovation-driven economy, new skills and competencies will be in demand. To help working adults upgrade themselves with relevant Human Resource skills and knowledge, the DBHC under the Continuing Education & Training (CET) framework was officially launched in 2018. This is i",17,0
194,Hatchery Technology (in MC in Aquaculture Sciences in Part-time Diploma in Applied Science (Aquaculture))Â,Temasek Polytechnic,APIs,509.4,60.0,Intermediate,,"In this course, you will learn the important aspects of Aquaculture, which include Feed Nutrition, Diseases Management, Hatchery Technology, and Aquaculture Systems, and many more! With the rapid expanding aquaculture production around the world, the insights gained here can improve aquaculture mana",17,0
195,Hawker Centre 101 (For Tourist Guides),WINE RESOURCES PTE. LTD.,APIs,70.0,7.5,Unspecified,,"The course aims to provide tourist guides with the relevant knowledge and skills to:_x000D_ - explain the development of hawker centres and the policies shaping it,_x000D_ - highlight the appeals of our hawker centres, in particular the design, social bonding, innovative and environmental aspects an",17,0
196,Hawker Centre 101 (For Tourist Guides)  (Synchronous e-learning),WINE RESOURCES PTE. LTD.,APIs,70.0,7.5,Unspecified,,"The course aims to provide tourist guides with the relevant knowledge and skills to:_x000D_ - explain the development of hawker centres and the policies shaping it,_x000D_ - highlight the appeals of our hawker centres, in particular the design, social bonding, innovative and environmental aspects an",17,0
197,Higher Nitec in Landscape Management & Design,Institute of Technical Education,APIs,1180.0,2800.0,Unspecified,,"This course will prepare you to organise, coordinate and oversee the various aspects of landscape implementation and maintenance works.  You will also be trained in various operations related to plant nurseries, parks and conservation areas, arboriculture, landscaping construction and maintenance, a",17,0
198,Higher Nitec in Landscape Management & Design (3-year),Institute of Technical Education,APIs,1440.0,4200.0,Unspecified,,"This course will prepare you to organise, coordinate and oversee the various aspects of landscape implementation and maintenance works.  You will also be trained in various operations related to plant nurseries, parks and conservation areas, arboriculture, landscaping construction and maintenance, a",17,0
199,Hospitality and Tourism Capstone Project,Republic Polytechnic,APIs,291.6,30.0,Intermediate,,"This module is part of the Post Diploma Certificate in Hospitality Business Management, Specialist Diploma in Hospitality and Tourism Management. The Hospitality and Tourism industry is changing rapidly, with a focus on bespoke experiences, and quality tourism. The advent of AI will continue to chan",17,0
200,Hotel Ancillary Revenue Optimisation,Republic Polytechnic,APIs,145.8,15.0,Intermediate,,"This module is part of the Post Diploma Certificate in Hospitality Business Management, Specialist Diploma in Hospitality and Tourism Management. The Hospitality and Tourism industry is changing rapidly, with a focus on bespoke experiences, and quality tourism. The advent of AI will continue to chan",17,0
201,Human & Natural Capital (PDC 1 in Specialist Diploma in Sustainable Built Environment),Temasek Polytechnic,APIs,317.7,30.0,Unspecified,,"Upon graduating from the course, graduates should be able to:_x000D_ _x000D_ 1.	Comprehend the systems approach to appreciate the role of design in integrating and restoring the natural ecosystem as an integral part of the built environment;_x000D_ 2.	Acquire knowledge and skillsets to implement sus",17,0
202,Human & Natural Capital (PDC 1 in Specialist Diploma in Sustainable Fashion),Temasek Polytechnic,APIs,372.6,30.0,Unspecified,,"Upon graduation, participants from the Specialist Diploma in Sustainable Fashion can work in the fashion industry as sustainability practitioners in their roles as fashion designers, product developers, manufacturers, visual merchandisers, retailers, merchandisers, buyers, merchandise planners, sale",17,0
203,Human Capital Consulting: Principles and Practices,Singapore University of Social Sciences,APIs,2640.0,24.0,Unspecified,,"Examine the roles and values of human capital consulting Discuss the wisdom, perspectives and models in human capital consulting Appraise opportunities and barriers in the implementation of consulting solutions Select consulting principles and adopt changes in different situations Evaluate processes",17,0
204,Human Resource Management,Singapore Polytechnic,APIs,1315.95,46.5,Unspecified,,"As Singapore becomes an innovation-driven economy, new skills and competencies will be in demand. To help working adults upgrade themselves with relevant Human Resource skills and knowledge, the DBHC under the Continuing Education & Training (CET) framework was officially launched in 2018. This is i",17,0
205,Hydraulic System,Singapore Polytechnic,APIs,1981.0,70.0,Unspecified,,"The WSP aims to provide fresh graduates, as well as in-service staff, from the Institute of Technical Education (ITE) a head-start and/or advancement in their careers in the Rapid Transit Transport (RTT) Sector. It is designed to meet both the needs of the public transport sector and the academic cu",17,0
206,INTRODUCTION TO DATA ANALYTICS & MODELLING (Part of SCTP Certificate in Data Analytics with AI) (Classroom Facilitated Learning),Nanyang Polytechnic,APIs,259.998,8.0,Beginner,,"In a rapidly evolving data-driven world, understanding data analytics and data modelling is crucial in decision making at workplace. Through this unit, learners are introduced to emerging data analytics trends, highlighting their applications and impact to the various work sectors. Learner would als",17,0
207,Industry 4.0 in Action (2 days),Republic Polytechnic,APIs,189.0,16.0,Unspecified,,"A revolutionary change is upon us. Are you ready for Industry 4.0?_x000D_ _x000D_ The workshop will demonstrate the adoption, disruption and revolutionizing effects of Industry 4.0._x000D_ _x000D_ Participants will experience the various Industry 4.0 technologies that we can use in our Smart Devices",17,0
